scene_chunk	case_summary	perpetrator	evidence_in_dialogue
0	Royce Harmon's murder   NO PERPETRATOR   [[Grissom]] it 's royce harmon all over again
0	Stuart Rampler's murder  NO PERPETRATOR   [[Grissom]] photos of tonight 's victim : stuart rampler
0	Possible DUI case  NO PERPETRATOR   [[Nick]] i 'm thinking dui
1	Royce Harmon's murder   NO PERPETRATOR   [[Dr._Albert_Robbins]] i 've read klausbach 's report on royce harmon the first staged suicide
1	Stuart Rampler's murder  NO PERPETRATOR   [[Catherine]] that looks like he was shot trying to protect himself
1	Walter Banglor's robbery  NO PERPETRATOR   [[Warrick]] must have been one hell of a fall to knock his watch and his ring off
2	Stuart Rampler's murder  Grissom [[Mandy]] it came back you
2	Royce Harmon's murder   NO PERPETRATOR   [[Paul_Millander]] say , w-would you like a cup of coffee ?
2	Pool cue chalk case  NO PERPETRATOR   [[Greg_Sanders]] your mystery dust is ... silicon blue dye
2	ATM security footage case  NO PERPETRATOR   [[Grissom]] there's our guy ... handing it off
3	Walter Banglor's robbery  Pool_Player  [[Pool_Player]] hit him
3	Grissom's setup   Paul_Millander   [[Grissom]] paul millander
3	John Millander's death  NO PERPETRATOR   [[Sara]] paul millander , age ten , testified that he watched in the closet while his father , john , was escorted by two hotel security guards into his own bathtub at gunpoint where he was found shot to death
